"","rank","title","year","rating","episodes","vote","user_reviews","critic_reviews","popularity"
"1","1."," Breaking Bad","2008–2013","9.5","62 eps"," (2.2M)",5000,175,18
"2","2."," Planet Earth II","2016","9.5","6 eps"," (162K)",158,6,1144
"3","3."," Planet Earth","2006","9.4","11 eps"," (223K)",111,10,2090
"4","4."," Band of Brothers","2001","9.4","10 eps"," (544K)",1000,34,172
"5","5."," Chernobyl","2019","9.3","5 eps"," (905K)",3500,88,176
"6","6."," The Wire","2002–2008","9.3","60 eps"," (390K)",786,77,106
"7","7."," Avatar: The Last Airbender","2005–2008","9.3","62 eps"," (388K)",997,57,384
"8","8."," Blue Planet II","2017","9.3","7 eps"," (48K)",53,9,4625
"9","9."," The Sopranos","1999–2007","9.2","86 eps"," (497K)",960,93,37
"10","10."," Cosmos: A Spacetime Odyssey","2014","9.2","13 eps"," (131K)",205,12,1483
"11","11."," Cosmos","1980","9.3","13 eps"," (45K)",80,8,3922
"12","12."," Our Planet","2019–2023","9.2","12 eps"," (53K)",245,15,2955
"13","13."," Game of Thrones","2011–2019","9.2","74 eps"," (2.4M)",5800,368,12
"14","14."," Bluey","2018","9.3","194 eps"," (33K)",366,4,391
"15","15."," The World at War","1973–1974","9.2","26 eps"," (31K)",126,5,2383
"16","16."," Fullmetal Alchemist: Brotherhood","2009–2010","9.1","68 eps"," (208K)",463,16,504
"17","17."," Rick and Morty","2013","9.1","78 eps"," (626K)",908,94,146
"18","18."," Life","2009","9.1","11 eps"," (43K)",12,9,3388
"19","19."," The Last Dance","2020","9.1","10 eps"," (159K)",541,28,1472
"20","20."," The Twilight Zone","1959–1964","9.0","156 eps"," (96K)",213,85,315
"21","21."," The Vietnam War","2017","9.1","10 eps"," (29K)",175,13,1878
"22","22."," Sherlock","2010–2017","9.1","15 eps"," (1M)",1000,121,178
"23","23."," Attack on Titan","2013–2023","9.1","98 eps"," (558K)",2300,64,61
"24","24."," Batman: The Animated Series","1992–1995","9.0","85 eps"," (122K)",218,25,498
"25","25."," The Office","2005–2013","9.0","188 eps"," (744K)",1700,76,56
